,URL,Title,Specifications
1,https://www.tudorwatch.com/en/watches/black-bay/m79210cnu-0001,Black Bay : M79210CNU-0001,"Five year Guarantee : Five-year transferable guarantee with no registration or periodic maintenance checks required
Case : 41 mm matt black ceramic case with micro-blasted finish and monobloc middle caseOpen case back in black-PVD-treated 316L steel with sapphire crystal
Movement : Manufacture Calibre MT5602-1USelf-winding mechanical movement with bidirectional rotor system
Power Reserve : Power reserve of approximately 70 hours
Winding Crown : Screw-down winding crown in black-PVD-treated 316L steel, with the TUDOR rose in relief and circular satin-brushed steel winding crown tube.
Waterproofness : Waterproof to 200 m (660 ft)
Bezel : Unidirectional rotatable bezel in black-PVD-treated 316L steel with 60-minute graduated disc in black ceramic with sunray satin finish and engraved markings and numerals
Dial : Black, domed
Crystal : Domed sapphire crystal
Bracelet : Hybrid leather and rubber strap with 316L steel folding clasp and safety catch in black PVD-treated 316L steel"
2,https://www.tudorwatch.com/en/watches/black-bay-chrono/m79360n-0002,Black Bay Chrono : M79360N-0002,"Five year Guarantee : Five-year transferable guarantee with no registration or periodic maintenance checks required
Case : 41 mm steel case with polished and satin finish
Movement : Manufacture Calibre MT5813 (COSC)Self-winding mechanical movement with bidirectional rotor system
Power Reserve : Power reserve of approximately 70 hours
Winding Crown : 316L steel screw-down pushers at 2 o'clock and 4 o'clock
Waterproofness : Waterproof to 200 m (660 ft)
Bezel : Fixed 316L steel bezel with matt black anodised aluminium disc with tachymetric scale and silver markings
Dial : Opaline with black counters, domedDate at 6 o'clock
Crystal : Domed sapphire crystal
Bracelet : Riveted 316L steel bracelet with polished and satin finish with folding clasp and safety catch"
3,https://www.tudorwatch.com/en/watches/black-bay-chrono/m79360n-0006,Black Bay Chrono : M79360N-0006,"Five year Guarantee : Five-year transferable guarantee with no registration or periodic maintenance checks required
Case : 41 mm steel case with polished and satin finish
Movement : Manufacture Calibre MT5813 (COSC)Self-winding mechanical movement with bidirectional rotor system
Power Reserve : Power reserve of approximately 70 hours
Winding Crown : 316L steel screw-down pushers at 2 o'clock and 4 o'clock
Waterproofness : Waterproof to 200 m (660 ft)
Bezel : Fixed 316L steel bezel with matt black anodised aluminium disc with tachymetric scale and silver markings
Dial : Opaline with black counters, domedDate at 6 o'clock
Crystal : Domed sapphire crystal
Bracelet : Black leather strap with removable bund with folding clasp and safety catch"
4,https://www.tudorwatch.com/en/watches/black-bay-chrono/m79360n-0008,Black Bay Chrono : M79360N-0008,"Five year Guarantee : Five-year transferable guarantee with no registration or periodic maintenance checks required
Case : 41 mm steel case with polished and satin finish
Movement : Manufacture Calibre MT5813 (COSC)Self-winding mechanical movement with bidirectional rotor system
Power Reserve : Power reserve of approximately 70 hours
Winding Crown : 316L steel screw-down pushers at 2 o'clock and 4 o'clock
Waterproofness : Waterproof to 200 m (660 ft)
Bezel : Fixed 316L steel bezel with matt black anodised aluminium disc with tachymetric scale and silver markings
Dial : Opaline with black counters, domedDate at 6 o'clock
Crystal : Domed sapphire crystal
Bracelet : Black fabric strap with buckle"
5,https://www.tudorwatch.com/en/watches/black-bay-chrono/m79360n-0001,Black Bay Chrono : M79360N-0001,"Five year Guarantee : Five-year transferable guarantee with no registration or periodic maintenance checks required
Case : 41 mm steel case with polished and satin finish
Movement : Manufacture Calibre MT5813 (COSC)Self-winding mechanical movement with bidirectional rotor system
Power Reserve : Power reserve of approximately 70 hours
Winding Crown : 316L steel screw-down pushers at 2 o'clock and 4 o'clock
Waterproofness : Waterproof to 200 m (660 ft)
Bezel : Fixed 316L steel bezel with matt black anodised aluminium disc with tachymetric scale and silver markings
Dial : Black with silver counters, domedDate at 6 o'clock
Crystal : Domed sapphire crystal
Bracelet : Riveted 316L steel bracelet with polished and satin finish with folding clasp and safety catch"
6,https://www.tudorwatch.com/en/watches/black-bay-chrono/m79360n-0005,Black Bay Chrono : M79360N-0005,"Five year Guarantee : Five-year transferable guarantee with no registration or periodic maintenance checks required
Case : 41 mm steel case with polished and satin finish
Movement : Manufacture Calibre MT5813 (COSC)Self-winding mechanical movement with bidirectional rotor system
Power Reserve : Power reserve of approximately 70 hours
Winding Crown : 316L steel screw-down pushers at 2 o'clock and 4 o'clock
Waterproofness : Waterproof to 200 m (660 ft)
Bezel : Fixed 316L steel bezel with matt black anodised aluminium disc with tachymetric scale and silver markings
Dial : Black with silver counters, domedDate at 6 o'clock
Crystal : Domed sapphire crystal
Bracelet : Black leather strap with removable bund with folding clasp and safety catch"
7,https://www.tudorwatch.com/en/watches/black-bay-chrono/m79360n-0007,Black Bay Chrono : M79360N-0007,"Five year Guarantee : Five-year transferable guarantee with no registration or periodic maintenance checks required
Case : 41 mm steel case with polished and satin finish
Movement : Manufacture Calibre MT5813 (COSC)Self-winding mechanical movement with bidirectional rotor system
Power Reserve : Power reserve of approximately 70 hours
Winding Crown : 316L steel screw-down pushers at 2 o'clock and 4 o'clock
Waterproofness : Waterproof to 200 m (660 ft)
Bezel : Fixed 316L steel bezel with matt black anodised aluminium disc with tachymetric scale and silver markings
Dial : Black with silver counters, domedDate at 6 o'clock
Crystal : Domed sapphire crystal
Bracelet : Black fabric strap with buckle"
8,https://www.tudorwatch.com/en/watches/black-bay-fifty-eight/m79018v-0001,Black Bay Fifty-Eight : M79018V-0001,"Five year Guarantee : Five-year transferable guarantee with no registration or periodic maintenance checks required
Case : 39 mm case, satin finished, in 18 ct yellow goldOpen case back with sapphire crystal
Movement : Manufacture Calibre MT5400 (COSC)Self-winding mechanical movement with bidirectional rotor system
Power Reserve : Power reserve of approximately 70 hours
Winding Crown : 18 ct yellow gold screw-down winding crown, with the TUDOR rose in relief with circular satin-brushed 18 ct yellow gold winding crown tube
Waterproofness : Waterproof to 200 m (660 ft)
Bezel : Unidirectional rotatable bezel in 18 ct yellow gold with 60-minute graduated disc in matt green anodised aluminium and gold gilded markings and numerals
Dial : Green, domed
Crystal : Domed sapphire crystal
Bracelet : Domed dark brown alligator strap with 18 ct yellow gold buckle"
9,https://www.tudorwatch.com/en/watches/black-bay-fifty-eight/m79010sg-0001,Black Bay Fifty-Eight : M79010SG-0001,"Five year Guarantee : Five-year transferable guarantee with no registration or periodic maintenance checks required
Case : 39 mm 925 silver case, satin finishedOpen case back with sapphire crystal
Movement : Manufacture Calibre MT5400 (COSC)Self-winding mechanical movement with bidirectional rotor system
Power Reserve : Power reserve of approximately 70 hours
Winding Crown : 925 silver screw-down winding crown, with the TUDOR rose in relief with circular satin-brushed 925 silver winding crown tube
Waterproofness : Waterproof to 200 m (660 ft)
Bezel : Unidirectional rotatable bezel in 925 silver with 60-minute graduated disc in matt taupe anodised aluminium and silver gilded markings and numerals
Dial : Taupe, domed
Crystal : Domed sapphire crystal
Bracelet : Brown leather strap with 925 silver buckle"
10,https://www.tudorwatch.com/en/watches/black-bay-fifty-eight/m79010sg-0002,Black Bay Fifty-Eight : M79010SG-0002,"Five year Guarantee : Five-year transferable guarantee with no registration or periodic maintenance checks required
Case : 39 mm 925 silver case, satin finishedOpen case back with sapphire crystal
Movement : Manufacture Calibre MT5400 (COSC)Self-winding mechanical movement with bidirectional rotor system
Power Reserve : Power reserve of approximately 70 hours
Winding Crown : 925 silver screw-down winding crown, with the TUDOR rose in relief with circular satin-brushed 925 silver winding crown tube
Waterproofness : Waterproof to 200 m (660 ft)
Bezel : Unidirectional rotatable bezel in 925 silver with 60-minute graduated disc in matt taupe anodised aluminium and silver gilded markings and numerals
Dial : Taupe, domed
Crystal : Domed sapphire crystal
Bracelet : Taupe fabric strap with 925 silver buckle"
